,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
980,Ronin,1998-09-25,action,7.2,55000000,41610884,70692101,Sep,0.2853109272727273,70.69,55.0,High Budget,High Rating,Moderate ROI
3426,Clay Pigeons,1998-09-25,comedy,6.6,8000000,1793359,2256606,Sep,-0.71792425,2.26,8.0,Low Budget,Moderate Rating,Low ROI
2863,Urban Legend,1998-09-25,horror,5.6,14000000,38116707,72571864,Sep,4.183704571428572,72.57,14.0,Low Budget,Low Rating,High ROI
2630,A Night at the Roxbury,1998-10-02,comedy,6.2,17000000,30331165,30331165,Oct,0.7841861764705882,30.33,17.0,Moderate Budget,Moderate Rating,Moderate ROI
834,Antz,1998-10-02,adventure,6.5,60000000,90757863,152457863,Oct,1.5409643833333333,152.46,60.0,High Budget,Moderate Rating,Moderate ROI
573,What Dreams May Come,1998-10-02,drama,6.9,80000000,55485043,71485043,Oct,-0.1064369625,71.49,80.0,High Budget,High Rating,Low ROI
4369,The Mighty,1998-10-09,comedy,7.2,100000,2652246,6121582,Oct,60.21582,6.12,0.1,Low Budget,High Rating,High ROI
4202,Slam,1998-10-09,drama,7.0,1000000,1009819,1087521,Oct,0.087521,1.09,1.0,Low Budget,High Rating,Low ROI
912,Holy Man,1998-10-09,comedy,4.9,60000000,12069719,12069719,Oct,-0.7988380166666667,12.07,60.0,High Budget,Low Rating,Low ROI
874,Practical Magic,1998-10-16,comedy,6.2,60000000,46850558,68336997,Oct,0.13894995,68.34,60.0,High Budget,Moderate Rating,Low ROI
3965,Happiness,1998-10-16,comedy,7.7,3000000,2746453,5746453,Oct,0.9154843333333333,5.75,3.0,Low Budget,High Rating,Moderate ROI
2066,Bride of Chucky,1998-10-16,comedy,5.5,25000000,32404188,50692188,Oct,1.02768752,50.69,25.0,Moderate Budget,Low Rating,Moderate ROI
1015,Beloved,1998-10-16,drama,6.0,53000000,22852487,22852487,Oct,-0.568821,22.85,53.0,High Budget,Low Rating,Low ROI
656,Soldier,1998-10-23,action,6.3,75000000,14623082,14623082,Oct,-0.8050255733333334,14.62,75.0,High Budget,Moderate Rating,Low ROI
655,Soldier,1998-10-23,action,6.0,75000000,14623082,14623082,Oct,-0.8050255733333334,14.62,75.0,High Budget,Low Rating,Low ROI
3244,American History X,1998-10-30,crime,8.5,10000000,6719864,6719864,Oct,-0.3280136,6.72,10.0,Low Budget,High Rating,Low ROI
2391,Vampires,1998-10-30,action,6.1,20000000,20268825,20268825,Oct,0.01344125,20.27,20.0,Moderate Budget,Moderate Rating,Low ROI
3043,Living Out Loud,1998-10-30,comedy,6.6,12000000,12905901,12905901,Oct,0.07549175,12.91,12.0,Low Budget,Moderate Rating,Low ROI
3939,Belly,1998-11-04,crime,6.2,3000000,9639390,9639390,Nov,2.21313,9.64,3.0,Low Budget,Moderate Rating,High ROI
2071,Elizabeth,1998-11-06,biography,7.4,25000000,30082699,82150642,Nov,2.28602568,82.15,25.0,Moderate Budget,High Rating,High ROI
3883,Gods and Monsters,1998-11-06,biography,7.3,3500000,6451628,6451628,Nov,0.8433222857142857,6.45,3.5,Low Budget,High Rating,Moderate ROI
3356,Velvet Goldmine,1998-11-06,drama,6.9,9000000,1053788,4313644,Nov,-0.5207062222222222,4.31,9.0,Low Budget,High Rating,Low ROI
709,The Siege,1998-11-06,action,6.4,70000000,40934175,116625798,Nov,0.6660828285714285,116.63,70.0,High Budget,Moderate Rating,Moderate ROI
2182,The Waterboy,1998-11-06,comedy,6.1,23000000,161491646,190191646,Nov,7.269202,190.19,23.0,Moderate Budget,Moderate Rating,High ROI
2162,I Still Know What You Did Last Summer,1998-11-13,horror,4.7,24000000,40020622,40020622,Nov,0.6675259166666667,40.02,24.0,Moderate Budget,Low Rating,Moderate ROI
512,Meet Joe Black,1998-11-13,drama,7.2,85000000,44650003,44650003,Nov,-0.4747058470588235,44.65,85.0,High Budget,High Rating,Low ROI
3058,Celebrity,1998-11-20,comedy,6.3,12000000,5078660,6200000,Nov,-0.48333333333333334,6.2,12.0,Low Budget,Moderate Rating,Low ROI
3918,Waking Ned Devine,1998-11-20,comedy,7.3,3000000,24793251,55193251,Nov,17.397750333333335,55.19,3.0,Low Budget,High Rating,High ROI
1899,The Rugrats Movie,1998-11-20,adventure,5.9,28000000,100494685,140894685,Nov,4.031953035714285,140.89,28.0,Moderate Budget,Low Rating,High ROI
499,Enemy of the State,1998-11-20,action,7.3,85000000,111549836,250649836,Nov,1.9488216,250.65,85.0,High Budget,High Rating,Moderate ROI
3230,Very Bad Things,1998-11-25,comedy,6.3,10000000,9949470,21094974,Nov,1.1094974,21.09,10.0,Low Budget,Moderate Rating,Moderate ROI
2812,Home Fries,1998-11-25,comedy,5.1,15000000,10513979,10513979,Nov,-0.2990680666666667,10.51,15.0,Low Budget,Low Rating,Low ROI
590,Babe: Pig in the City,1998-11-25,adventure,5.8,80000000,18319860,69131860,Nov,-0.13585175,69.13,80.0,High Budget,Low Rating,Low ROI
2388,Psycho,1998-12-04,horror,4.6,20000000,21541218,37226218,Dec,0.8613109,37.23,20.0,Moderate Budget,Low Rating,Moderate ROI
3592,Little Voice,1998-12-04,comedy,7.0,6000000,4595000,21787233,Dec,2.6312055,21.79,6.0,Low Budget,High Rating,High ROI
1095,Jack Frost,1998-12-11,comedy,5.4,50000000,34645374,34645374,Dec,-0.30709252,34.65,50.0,High Budget,Low Rating,Low ROI
2637,A Simple Plan,1998-12-11,crime,7.5,17000000,16316273,16316273,Dec,-0.040219235294117646,16.32,17.0,Moderate Budget,High Rating,Low ROI
3204,Rushmore,1998-12-11,comedy,7.6,10000000,17105219,19080435,Dec,0.9080435,19.08,10.0,Low Budget,High Rating,Moderate ROI
1974,Shakespeare in Love,1998-12-11,comedy,7.1,26000000,100317794,279500000,Dec,9.75,279.5,26.0,Moderate Budget,High Rating,High ROI
699,Star Trek: Insurrection,1998-12-11,action,6.4,70000000,70187658,117800000,Dec,0.6828571428571428,117.8,70.0,High Budget,Moderate Rating,Moderate ROI
830,The Prince of Egypt,1998-12-18,adventure,7.2,60000000,101413188,218613188,Dec,2.6435531333333335,218.61,60.0,High Budget,High Rating,High ROI
1022,The Thin Red Line,1998-12-23,drama,7.6,52000000,36400491,97709034,Dec,0.8790198846153846,97.71,52.0,High Budget,High Rating,Moderate ROI
860,A Civil Action,1998-12-25,drama,6.6,60000000,56709981,56709981,Dec,-0.05483365,56.71,60.0,High Budget,Moderate Rating,Low ROI
574,Mighty Joe Young,1998-12-25,action,5.7,80000000,50632037,50632037,Dec,-0.3670995375,50.63,80.0,High Budget,Low Rating,Low ROI
2751,The Faculty,1998-12-25,horror,6.5,15000000,40283321,40283321,Dec,1.6855547333333334,40.28,15.0,Low Budget,Moderate Rating,Moderate ROI
1035,Patch Adams,1998-12-25,biography,6.8,50000000,135014968,202173000,Dec,3.04346,202.17,50.0,High Budget,Moderate Rating,High ROI
1047,Stepmom,1998-12-25,comedy,6.8,50000000,91137662,159745279,Dec,2.19490558,159.75,50.0,High Budget,Moderate Rating,High ROI
2664,Varsity Blues,1999-01-15,comedy,6.5,16000000,52894169,54294169,Jan,2.3933855625,54.29,16.0,Moderate Budget,Moderate Rating,High ROI
1301,The Sixth Sense,1999-01-15,drama,8.2,40000000,293506292,672806292,Jan,15.8201573,672.81,40.0,Moderate Budget,High Rating,High ROI
1844,In Dreams,1999-01-15,drama,5.5,30000000,12017369,12017369,Jan,-0.5994210333333333,12.02,30.0,Moderate Budget,Low Rating,Low ROI
658,Virus,1999-01-15,action,5.0,75000000,14010690,30626690,Jan,-0.5916441333333333,30.63,75.0,High Budget,Low Rating,Low ROI
1410,At First Sight,1999-01-15,drama,5.9,40000000,22365133,22365133,Jan,-0.440871675,22.37,40.0,Moderate Budget,Low Rating,Low ROI
1861,Gloria,1999-01-22,crime,5.1,30000000,4167493,4967493,Jan,-0.8344169,4.97,30.0,Moderate Budget,Low Rating,Low ROI
3146,She's All That,1999-01-29,comedy,5.9,10000000,63465522,63465522,Jan,5.3465522,63.47,10.0,Low Budget,Low Rating,High ROI
1052,Payback,1999-02-05,action,7.1,50000000,81526121,161626121,Feb,2.23252242,161.63,50.0,High Budget,High Rating,High ROI
3594,Simply Irresistible,1999-02-05,comedy,5.2,6000000,4398989,4398989,Feb,-0.2668351666666667,4.4,6.0,Low Budget,Low Rating,Low ROI
1759,Message in a Bottle,1999-02-12,drama,6.2,30000000,52880016,52880016,Feb,0.7626672,52.88,30.0,Moderate Budget,Moderate Rating,Moderate ROI
887,My Favorite Martian,1999-02-12,comedy,5.1,60000000,36850101,36850101,Feb,-0.38583165,36.85,60.0,High Budget,Low Rating,Low ROI
1593,Blast from the Past,1999-02-12,comedy,6.7,35000000,26613620,26613620,Feb,-0.23961085714285715,26.61,35.0,Moderate Budget,Moderate Rating,Low ROI
3225,Office Space,1999-02-19,comedy,7.6,10000000,10827813,12179708,Feb,0.2179708,12.18,10.0,Low Budget,High Rating,Moderate ROI
3962,Jawbreaker,1999-02-19,comedy,5.6,3000000,3076820,3076820,Feb,0.025606666666666666,3.08,3.0,Low Budget,Low Rating,Low ROI
3587,200 Cigarettes,1999-02-26,comedy,5.9,6000000,6852450,6852450,Feb,0.142075,6.85,6.0,Low Budget,Low Rating,Low ROI
1378,8MM,1999-02-26,crime,6.5,40000000,36443442,96398826,Feb,1.40997065,96.4,40.0,Moderate Budget,Moderate Rating,Moderate ROI
3093,Cruel Intentions,1999-03-05,drama,6.8,11000000,38665260,76238901,Mar,5.930809181818182,76.24,11.0,Low Budget,Moderate Rating,High ROI
1725,Analyze This,1999-03-05,comedy,6.7,30000000,106885658,176885658,Mar,4.8961886,176.89,30.0,Moderate Budget,Moderate Rating,High ROI
2930,Baby Geniuses,1999-03-12,comedy,2.5,13000000,27151490,27151490,Mar,1.0885761538461538,27.15,13.0,Low Budget,Low Rating,Moderate ROI
1845,Wing Commander,1999-03-12,action,4.3,30000000,11578022,11578022,Mar,-0.6140659333333334,11.58,30.0,Moderate Budget,Low Rating,Low ROI
1432,The Deep End of the Ocean,1999-03-12,drama,6.3,40000000,13508635,13508635,Mar,-0.662284125,13.51,40.0,Moderate Budget,Moderate Rating,Low ROI
2278,The Rage: Carrie 2,1999-03-12,drama,4.7,21000000,17760244,17760244,Mar,-0.15427409523809524,17.76,21.0,Moderate Budget,Low Rating,Low ROI
3213,The Corruptor,1999-03-12,action,6.0,10000000,15164492,15164492,Mar,0.5164492,15.16,10.0,Low Budget,Low Rating,Moderate ROI
3064,Ravenous,1999-03-19,adventure,6.9,12000000,2062406,2062406,Mar,-0.8281328333333333,2.06,12.0,Low Budget,High Rating,Low ROI
2890,A Walk on the Moon,1999-03-26,drama,6.6,14000000,4741987,4741987,Mar,-0.6612866428571429,4.74,14.0,Low Budget,Moderate Rating,Low ROI
3683,Doug's 1st Movie,1999-03-26,adventure,4.9,5000000,19421271,19421271,Mar,2.8842542,19.42,5.0,Low Budget,Low Rating,High ROI
2927,10 Things I Hate About You,1999-03-31,comedy,7.3,13000000,38177966,60413950,Mar,3.647226923076923,60.41,13.0,Low Budget,High Rating,High ROI
757,The Matrix,1999-03-31,action,8.7,65000000,173993387,465974198,Mar,6.168833815384615,465.97,65.0,High Budget,High Rating,High ROI
1396,The Out-of-Towners,1999-04-02,comedy,5.5,40000000,28544120,28544120,Apr,-0.286397,28.54,40.0,Moderate Budget,Low Rating,Low ROI
4110,Foolish,1999-04-09,comedy,4.9,1600000,6026908,6026908,Apr,2.7668175,6.03,1.6,Low Budget,Low Rating,High ROI
636,Life,1999-04-16,comedy,6.7,75000000,64062587,73521587,Apr,-0.019712173333333333,73.52,75.0,High Budget,Moderate Rating,Low ROI
3375,Election,1999-04-23,comedy,7.3,8500000,14943582,17202854,Apr,1.0238651764705882,17.2,8.5,Low Budget,High Rating,Moderate ROI
2286,eXistenZ,1999-04-23,horror,6.8,20700000,2840417,2840417,Apr,-0.8627817874396135,2.84,20.7,Moderate Budget,Moderate Rating,Low ROI
1666,Pushing Tin,1999-04-23,comedy,6.0,33000000,8408835,8408835,Apr,-0.7451868181818182,8.41,33.0,Moderate Budget,Low Rating,Low ROI
2831,Idle Hands,1999-04-30,comedy,6.2,15000000,4023741,4024147,Apr,-0.7317235333333333,4.02,15.0,Low Budget,Moderate Rating,Low ROI
750,Entrapment,1999-04-30,action,6.3,66000000,87707396,211700000,Apr,2.2075757575757575,211.7,66.0,High Budget,Moderate Rating,High ROI
538,The Mummy,1999-05-07,action,7.1,80000000,155385488,416385488,May,4.2048186,416.39,80.0,High Budget,High Rating,High ROI
2879,Tea with Mussolini,1999-05-14,comedy,6.9,14000000,14395874,14395874,May,0.028276714285714287,14.4,14.0,Low Budget,High Rating,Low ROI
2821,The Love Letter,1999-05-21,comedy,5.5,15000000,8322608,9245877,May,-0.3836082,9.25,15.0,Low Budget,Low Rating,Low ROI
1274,Notting Hill,1999-05-28,comedy,7.2,42000000,116089678,363718196,May,7.659957047619048,363.72,42.0,High Budget,High Rating,High ROI
3840,The Loss of Sexual Innocence,1999-05-28,drama,5.4,4000000,399793,399793,May,-0.90005175,0.4,4.0,Low Budget,Low Rating,Low ROI
2694,The Thirteenth Floor,1999-05-28,mystery,7.0,16000000,11810854,11810854,May,-0.261821625,11.81,16.0,Moderate Budget,High Rating,Low ROI
3383,Limbo,1999-06-04,adventure,7.0,8300000,2160710,2598224,Jun,-0.6869609638554217,2.6,8.3,Low Budget,High Rating,Low ROI
987,Instinct,1999-06-04,drama,6.5,55000000,34105207,34105207,Jun,-0.3799053272727273,34.11,55.0,High Budget,Moderate Rating,Low ROI
1527,Austin Powers: The Spy Who Shagged Me,1999-06-10,action,6.6,35000000,206040085,312383487,Jun,7.925242485714286,312.38,35.0,Moderate Budget,Moderate Rating,High ROI
215,Tarzan,1999-06-16,adventure,7.3,145000000,171091819,448191819,Jun,2.0909780620689653,448.19,145.0,High Budget,High Rating,Moderate ROI
3128,An Ideal Husband,1999-06-18,comedy,6.1,10700000,18542974,31341183,Jun,1.929082523364486,31.34,10.7,Low Budget,Moderate Rating,Moderate ROI
3127,An Ideal Husband,1999-06-18,comedy,6.8,10700000,18542974,31341183,Jun,1.929082523364486,31.34,10.7,Low Budget,Moderate Rating,Moderate ROI
1714,Big Daddy,1999-06-25,comedy,6.4,30000000,163479795,228641283,Jun,6.6213761,228.64,30.0,Moderate Budget,Moderate Rating,High ROI
2265,"South Park: Bigger, Longer & Uncut",1999-06-30,animation,7.7,21000000,52037603,52037603,Jun,1.4779810952380952,52.04,21.0,Moderate Budget,High Rating,Moderate ROI
120,Wild Wild West,1999-06-30,action,4.9,175000000,113805681,221229335,Jun,0.26416762857142856,221.23,175.0,High Budget,Low Rating,Moderate ROI
2242,Summer of Sam,1999-07-02,crime,6.7,22000000,19288130,19288130,Jul,-0.12326681818181819,19.29,22.0,Moderate Budget,Moderate Rating,Low ROI
2259,Arlington Road,1999-07-09,action,7.2,21500000,24419219,24419219,Jul,0.13577762790697676,24.42,21.5,Moderate Budget,High Rating,Low ROI
2986,American Pie,1999-07-09,comedy,7.0,12000000,101800948,234723148,Jul,18.560262333333334,234.72,12.0,Low Budget,High Rating,High ROI
4258,The Blair Witch Project,1999-07-14,horror,6.5,600000,140539099,248300000,Jul,412.8333333333333,248.3,0.6,Low Budget,Moderate Rating,High ROI
3565,The Wood,1999-07-16,comedy,7.0,6000000,25059640,25059640,Jul,3.176606666666667,25.06,6.0,Low Budget,High Rating,High ROI
1958,Lake Placid,1999-07-16,action,5.8,27000000,31770413,31770413,Jul,0.17668196296296296,31.77,27.0,Moderate Budget,Low Rating,Low ROI
776,Eyes Wide Shut,1999-07-16,drama,7.5,65000000,55691208,104264617,Jul,0.6040710307692307,104.26,65.0,High Budget,High Rating,Moderate ROI
559,The Haunting,1999-07-23,fantasy,5.0,80000000,91188905,180188905,Jul,1.2523613125,180.19,80.0,High Budget,Low Rating,Moderate ROI
3227,Drop Dead Gorgeous,1999-07-23,comedy,6.6,10000000,10571408,10571408,Jul,0.0571408,10.57,10.0,Low Budget,Moderate Rating,Low ROI
629,Inspector Gadget,1999-07-23,action,4.1,75000000,97387965,97387965,Jul,0.2985062,97.39,75.0,High Budget,Low Rating,Moderate ROI
848,Deep Blue Sea,1999-07-28,action,5.9,60000000,73648228,165048228,Jul,1.7508038,165.05,60.0,High Budget,Low Rating,Moderate ROI
683,Runaway Bride,1999-07-30,comedy,5.6,70000000,152257509,310138178,Jul,3.4305454,310.14,70.0,High Budget,Low Rating,High ROI
4279,Twin Falls Idaho,1999-07-30,drama,7.1,500000,985341,1027228,Jul,1.054456,1.03,0.5,Low Budget,High Rating,Moderate ROI
1114,The Iron Giant,1999-08-04,action,8.1,50000000,23159305,31333917,Aug,-0.37332166,31.33,50.0,High Budget,High Rating,Low ROI
2948,Dick,1999-08-04,comedy,6.2,13000000,6276869,6276869,Aug,-0.517163923076923,6.28,13.0,Low Budget,Moderate Rating,Low ROI
741,Mystery Men,1999-08-06,action,6.1,68000000,29762011,33462011,Aug,-0.5079116029411764,33.46,68.0,High Budget,Moderate Rating,Low ROI
1156,The Thomas Crown Affair,1999-08-06,crime,6.8,48000000,69304264,124304264,Aug,1.5896721666666667,124.3,48.0,High Budget,Moderate Rating,Moderate ROI
2117,Brokedown Palace,1999-08-13,drama,6.4,25000000,10115014,11115766,Aug,-0.55536936,11.12,25.0,Moderate Budget,Moderate Rating,Low ROI
2701,Detroit Rock City,1999-08-13,adventure,6.8,16000000,4217115,5825314,Aug,-0.635917875,5.83,16.0,Moderate Budget,Moderate Rating,Low ROI
968,Bowfinger,1999-08-13,comedy,6.5,55000000,66458769,98699769,Aug,0.7945412545454545,98.7,55.0,High Budget,Moderate Rating,Moderate ROI
1382,Mickey Blue Eyes,1999-08-20,comedy,5.9,40000000,33864342,53864342,Aug,0.34660855,53.86,40.0,Moderate Budget,Low Rating,Moderate ROI
3492,In Too Deep,1999-08-25,crime,6.2,7000000,14026509,15471229,Aug,1.2101755714285714,15.47,7.0,Low Budget,Moderate Rating,Moderate ROI
2808,The Muse,1999-08-27,comedy,5.7,15000000,11614954,11614954,Aug,-0.22566973333333334,11.61,15.0,Low Budget,Low Rating,Low ROI
290,The 13th Warrior,1999-08-27,action,6.6,125000000,32698899,61698899,Aug,-0.506408808,61.7,125.0,High Budget,Moderate Rating,Low ROI
2252,Dudley Do-Right,1999-08-27,comedy,3.9,22000000,9818792,9818792,Aug,-0.5536912727272727,9.82,22.0,Moderate Budget,Low Rating,Low ROI
1651,The Astronaut's Wife,1999-08-27,drama,5.4,34000000,10672566,10672566,Aug,-0.686101,10.67,34.0,Moderate Budget,Low Rating,Low ROI
3510,A Dog of Flanders,1999-08-27,drama,6.2,7000000,2165637,2165637,Aug,-0.6906232857142857,2.17,7.0,Low Budget,Moderate Rating,Low ROI
1650,Chill Factor,1999-09-01,action,5.2,34000000,11263966,11263966,Sep,-0.6687068823529412,11.26,34.0,Moderate Budget,Low Rating,Low ROI
3500,Outside Providence,1999-09-01,comedy,6.4,7000000,7309628,7824358,Sep,0.11776542857142858,7.82,7.0,Low Budget,Moderate Rating,Low ROI
3030,Stir of Echoes,1999-09-10,horror,6.9,12000000,21133087,23059379,Sep,0.9216149166666666,23.06,12.0,Low Budget,High Rating,Moderate ROI
1679,Stigmata,1999-09-10,horror,6.2,32000000,50041732,89441732,Sep,1.795054125,89.44,32.0,Moderate Budget,Moderate Rating,Moderate ROI
3832,Love Stinks,1999-09-10,comedy,5.7,4000000,2793776,2793776,Sep,-0.301556,2.79,4.0,Low Budget,Low Rating,Low ROI
2718,American Beauty,1999-09-15,drama,8.4,15000000,130058047,356258047,Sep,22.750536466666667,356.26,15.0,Low Budget,High Rating,High ROI
1507,Blue Streak,1999-09-17,action,6.3,36000000,68208190,117448157,Sep,2.2624488055555556,117.45,36.0,Moderate Budget,Moderate Rating,High ROI
4324,Sugar Town,1999-09-17,comedy,6.1,250000,178095,178095,Sep,-0.28762,0.18,0.25,Low Budget,Moderate Rating,Low ROI
3075,Breakfast of Champions,1999-09-17,comedy,4.5,12000000,178287,178287,Sep,-0.98514275,0.18,12.0,Low Budget,Low Rating,Low ROI
1094,For Love of the Game,1999-09-17,drama,6.6,50000000,35188640,46112640,Sep,-0.0777472,46.11,50.0,High Budget,Moderate Rating,Low ROI
2830,Jakob the Liar,1999-09-24,drama,6.5,15000000,4956401,4956401,Sep,-0.6695732666666667,4.96,15.0,Low Budget,Moderate Rating,Low ROI
1893,Mumford,1999-09-24,comedy,6.8,28700000,4559569,4559569,Sep,-0.84113,4.56,28.7,Moderate Budget,Moderate Rating,Low ROI
2602,One Man's Hero,1999-09-24,action,6.0,18000000,229311,229311,Sep,-0.9872605,0.23,18.0,Moderate Budget,Low Rating,Low ROI
1312,Double Jeopardy,1999-09-24,crime,6.5,40000000,116735231,177835231,Sep,3.445880775,177.84,40.0,Moderate Budget,Moderate Rating,High ROI
3408,Drive Me Crazy,1999-10-01,comedy,5.7,8000000,17843379,22591451,Oct,1.823931375,22.59,8.0,Low Budget,Low Rating,Moderate ROI
1938,"Mystery, Alaska",1999-10-01,comedy,6.7,28000000,8891623,8891623,Oct,-0.6824420357142857,8.89,28.0,Moderate Budget,Moderate Rating,Low ROI
4108,"Happy, Texas",1999-10-01,comedy,6.3,1700000,2039192,2891228,Oct,0.7007223529411765,2.89,1.7,Low Budget,Moderate Rating,Moderate ROI
2641,The Adventures of Elmo in Grouchland,1999-10-01,adventure,5.8,17000000,11634458,11634458,Oct,-0.31562011764705883,11.63,17.0,Moderate Budget,Low Rating,Low ROI
1159,Three Kings,1999-10-01,action,7.1,48000000,60652036,107752036,Oct,1.2448340833333333,107.75,48.0,High Budget,High Rating,Moderate ROI
4045,Boys Don't Cry,1999-10-08,biography,7.5,2000000,11540607,20741000,Oct,9.3705,20.74,2.0,Low Budget,High Rating,High ROI
2868,Superstar,1999-10-08,comedy,5.2,14000000,30628981,30628981,Oct,1.1877843571428572,30.63,14.0,Low Budget,Low Rating,Moderate ROI
3259,The Limey,1999-10-08,crime,6.9,10000000,3193102,6030047,Oct,-0.3969953,6.03,10.0,Low Budget,High Rating,Low ROI
802,Random Hearts,1999-10-08,drama,5.3,64000000,31054924,63200000,Oct,-0.0125,63.2,64.0,High Budget,Low Rating,Low ROI
3245,The Straight Story,1999-10-15,biography,8.0,10000000,6197866,6199310,Oct,-0.380069,6.2,10.0,Low Budget,High Rating,Low ROI
786,Fight Club,1999-10-15,drama,8.8,65000000,37030102,100820947,Oct,0.5510914923076923,100.82,65.0,High Budget,High Rating,Moderate ROI
1104,The Story of Us,1999-10-15,comedy,5.9,50000000,27100030,27100030,Oct,-0.4579994,27.1,50.0,High Budget,Low Rating,Low ROI
3461,The Omega Code,1999-10-15,action,3.5,7200000,12610552,12678312,Oct,0.7608766666666666,12.68,7.2,Low Budget,Low Rating,Moderate ROI
3537,Bats,1999-10-22,horror,4.0,6500000,10155691,10155691,Oct,0.562414,10.16,6.5,Low Budget,Low Rating,Moderate ROI
3327,The Best Man,1999-10-22,comedy,6.7,9000000,34102780,34572780,Oct,2.84142,34.57,9.0,Low Budget,Moderate Rating,High ROI
2284,Molly,1999-10-22,comedy,5.7,21000000,17396,17396,Oct,-0.9991716190476191,0.02,21.0,Moderate Budget,Low Rating,Low ROI
2439,Three to Tango,1999-10-22,comedy,6.0,20000000,10570375,10570375,Oct,-0.47148125,10.57,20.0,Moderate Budget,Low Rating,Low ROI
4274,Beyond the Mat,1999-10-22,biography,7.6,500000,2047570,2047570,Oct,3.09514,2.05,0.5,Low Budget,High Rating,High ROI
2840,Crazy in Alabama,1999-10-22,comedy,6.2,15000000,1954202,1954202,Oct,-0.8697198666666667,1.95,15.0,Low Budget,Moderate Rating,Low ROI
2935,Being John Malkovich,1999-10-29,comedy,7.8,13000000,22858926,32382381,Oct,1.4909523846153847,32.38,13.0,Low Budget,High Rating,Moderate ROI
2502,House on Haunted Hill,1999-10-29,crime,5.6,19000000,40846082,65090541,Oct,2.425817947368421,65.09,19.0,Moderate Budget,Low Rating,High ROI
3901,Dreaming of Joseph Lees,1999-10-29,drama,6.3,3250000,7680,7680,Oct,-0.9976369230769231,0.01,3.25,Low Budget,Moderate Rating,Low ROI
742,The Insider,1999-11-05,biography,7.8,68000000,28965197,60265197,Nov,-0.11374710294117647,60.27,68.0,High Budget,High Rating,Low ROI
1158,The Bone Collector,1999-11-05,crime,6.7,48000000,66488090,151463090,Nov,2.1554810416666665,151.46,48.0,High Budget,Moderate Rating,High ROI
2277,The Bachelor,1999-11-05,comedy,5.0,21000000,21731001,36882378,Nov,0.7563037142857143,36.88,21.0,Moderate Budget,Low Rating,Moderate ROI
2949,Light It Up,1999-11-10,drama,6.0,13000000,5871603,5871603,Nov,-0.5483382307692307,5.87,13.0,Low Budget,Low Rating,Low ROI
2194,Anywhere But Here,1999-11-12,comedy,6.2,23000000,18653615,18653615,Nov,-0.18897326086956523,18.65,23.0,Moderate Budget,Moderate Rating,Low ROI
3173,Dogma,1999-11-12,adventure,7.3,10000000,30651422,43948865,Nov,3.3948865,43.95,10.0,Low Budget,High Rating,High ROI
2843,Felicia's Journey,1999-11-12,drama,7.0,15000000,824295,1970268,Nov,-0.8686488,1.97,15.0,Low Budget,High Rating,Low ROI
1126,The Messenger: The Story of Joan of Arc,1999-11-12,adventure,6.4,50000000,14271297,14271297,Nov,-0.71457406,14.27,50.0,High Budget,Moderate Rating,Low ROI
690,Sleepy Hollow,1999-11-19,fantasy,7.3,70000000,101068340,207068340,Nov,1.958119142857143,207.07,70.0,High Budget,High Rating,Moderate ROI
441,Toy Story 2,1999-11-19,adventure,7.9,90000000,245852179,511358276,Nov,4.6817586222222225,511.36,90.0,High Budget,High Rating,High ROI
384,End of Days,1999-11-24,action,5.8,100000000,66889043,212026975,Nov,1.12026975,212.03,100.0,High Budget,Low Rating,Moderate ROI
1968,Flawless,1999-11-24,crime,6.4,27000000,4485485,4485485,Nov,-0.8338709259259259,4.49,27.0,Moderate Budget,Moderate Rating,Low ROI
4308,Tumbleweeds,1999-11-24,comedy,6.7,312000,1350248,1788168,Nov,4.731307692307692,1.79,0.31,Low Budget,Moderate Rating,High ROI
2202,The End of the Affair,1999-12-03,drama,7.0,23000000,10660147,10660147,Dec,-0.536515347826087,10.66,23.0,Moderate Budget,High Rating,Low ROI
1697,Cradle Will Rock,1999-12-08,drama,6.8,32000000,2899970,2899970,Dec,-0.9093759375,2.9,32.0,Moderate Budget,Moderate Rating,Low ROI
823,The Green Mile,1999-12-10,crime,8.6,60000000,136801374,290701374,Dec,3.8450229,290.7,60.0,High Budget,High Rating,High ROI
3079,Diamonds,1999-12-10,comedy,5.5,11900000,81897,81897,Dec,-0.9931178991596639,0.08,11.9,Low Budget,Low Rating,Low ROI
2532,Deuce Bigalow: Male Gigolo,1999-12-10,comedy,5.7,18000000,65535067,92935067,Dec,4.163059277777778,92.94,18.0,Moderate Budget,Low Rating,High ROI
346,Stuart Little,1999-12-17,adventure,6.0,105000000,140015224,298815224,Dec,1.8458592761904762,298.82,105.0,High Budget,Low Rating,Moderate ROI
1505,Magnolia,1999-12-17,drama,8.0,37000000,22450975,48446802,Dec,0.309373027027027,48.45,37.0,Moderate Budget,High Rating,Moderate ROI
646,Anna and the King,1999-12-17,drama,6.7,75000000,39251128,39251128,Dec,-0.47665162666666666,39.25,75.0,High Budget,Moderate Rating,Low ROI
468,Bicentennial Man,1999-12-17,drama,6.9,90000000,58220776,87420776,Dec,-0.028658044444444444,87.42,90.0,High Budget,High Rating,Low ROI
